,,,,,,,,,,,,,
CONFIDENTIAL DRAFT - FOR DISCUSSION PURPOSES ONLY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Genesis I (BVI),0xf3342d2740622B001558AC632A4FE3383772EEEd,,,,,,,,,
,,,Genesis II (Fdn),0xC511541a041616F15E129C064E6bBCDb5cBA14d6,,,,,,,,,
,,,Grayscale,0xce1eF60a9A4829D4EF5542D34f9ea7b95ce0C833,,,,,TRUE,,,,
,,,Toku multisig (x2B),0x9e2d915F6c10bD33F8b5f2eE155c9F76c2486E9B,,,,,Unique 102,,,,
,Indiv 113,,,,,100.0000%,"5,000,000,000",5.00E+27,Indiv 113,,26,18,17
,Segment,Wallet ID,Delivery Status,TGE Destination,Final Destination,%,SXT, attoSXT,TGE Address,Etherscan Link,ethBalance,sxtBalance,
,Team,Grand Canyon,Delivered,Anchorage,Anchorage,0.1993%,"9,963,111",9.96E+24,0x9669B051804dba9C08d9a08a1CA91C79eA89bD69,View on Etherscan,Loading...,Loading...,Loading...
,Team,Guam,Delivered,Anchorage,Anchorage,0.2051%,"10,254,321",1.03E+25,0xd398f8877312b2E2f3b73E7a69dC042F28ED5d3F,View on Etherscan,Loading...,Loading...,Loading...
,Team,Wisconsin,Delivered,Anchorage,Anchorage,0.2051%,"10,255,623",1.03E+25,0xd77D3a198487829DC8836AB9CE4f18bdC8A1CAdd,View on Etherscan,Loading...,Loading...,Loading...
,Team,Texas,Delivered,Anchorage,Anchorage,0.2110%,"10,548,549",1.05E+25,0xC84fDD85f42e8b71afeC7D6B6556AbA1635c5286,View on Etherscan,Loading...,Loading...,Loading...
,Team,Mount Rainier,Delivered,Anchorage,Anchorage,0.2297%,"11,484,888",1.15E+25,0x74CE01F44f669Dd186911ecBa40511AC3E127804,View on Etherscan,Loading...,Loading...,Loading...
,Team,Tennessee,Delivered,Anchorage,Anchorage,0.2305%,"11,526,999",1.15E+25,0x509E6907ca5CC14D08DBa6d150A1A7e7e3B69E0b,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Team,Pennsylvania,Delivered,Anchorage,Anchorage,0.2467%,"12,333,200",1.23E+25,0xb3A6511e72D97944F76A989aAfC27872574E9408,View on Etherscan,Loading...,Loading...,Loading...
,Team,Georgia,Delivered,Anchorage,Anchorage,0.2467%,"12,333,857",1.23E+25,0x4B6928dfcD25F94cCa9fe75c640B48104619944A,View on Etherscan,Loading...,Loading...,Loading...
,Team,Voyageurs,Delivered,Anchorage,Anchorage,0.2513%,"12,563,222",1.26E+25,0x7743EddD499791D1eEE3c0afcd3256cF4D84265b,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Team,Yellowstone,Delivered,Anchorage,Anchorage,0.2592%,"12,959,444",1.30E+25,0x65A86d9bcF0d72De32A5CDf0fA49C5254A310Ff0,View on Etherscan,Loading...,Loading...,Loading...
,Team,Idaho,Delivered,Anchorage,Anchorage,0.2621%,"13,103,194",1.31E+25,0xA48590aBD55c74f0538036779B4d2C20726863aB,View on Etherscan,Loading...,Loading...,Loading...
,Team,Haleakala,Delivered,Anchorage,Anchorage,0.2738%,"13,689,564",1.37E+25,0xb90a214A3989FD41c385F99A8e5253395a6acac0,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Acadia,Delivered,Anchorage,Anchorage,0.2829%,"14,142,530",1.41E+25,0x959eb8Bf2d4a9668502f70DF777BA7cC7262F41F,View on Etherscan,Loading...,Loading...,Loading...
,Team,Utah,Delivered,Anchorage,Anchorage,0.2911%,"14,554,727",1.46E+25,0x7eFa6e042D66356B54625Aa5B7ec295130248641,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Kings Canyon,Delivered,Anchorage,Anchorage,0.2911%,"14,555,222",1.46E+25,0xA983BeF4F6Bb62901b5A815A1cc45003e5d971B4,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Petrified Forest,Delivered,Anchorage,Anchorage,0.2992%,"14,960,202",1.50E+25,0x72477A60904E50Be0404039A5De4A54590bE0CfD,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Team,Carlsbad Caverns,Delivered,Anchorage,Anchorage,0.3125%,"15,623,556",1.56E+25,0x42b913b333c3a2AD0A6367b194e7400639CF5E4C,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Team,Minnesota,Delivered,Anchorage,Anchorage,0.3127%,"15,635,963",1.56E+25,0x5c683b2701a45B978307E998c6A71e6350013473,View on Etherscan,Loading...,Loading...,Loading...
,Team,Wyoming,Delivered,Anchorage,Anchorage,0.3179%,"15,895,632",1.59E+25,0xC5641424fB2533A1C289A6fE7c13A2B8B3e349f1,View on Etherscan,Error: NOTOK,Error: NOTOK,FALSE
,Team,Glacier,Delivered,Anchorage,Anchorage,0.3273%,"16,365,222",1.64E+25,0x5aF28df0e941dDF7202F7A9689Ab17267b1cbd99,View on Etherscan,Loading...,Loading...,Loading...
,Team,Puerto Rico,Delivered,Anchorage,Anchorage,0.3306%,"16,528,555",1.65E+25,0x8DCd26D35CbAC00601046CB596eb4a5D6120335F,View on Etherscan,Loading...,Loading...,Loading...
,Team,New Mexico,Delivered,Anchorage,Anchorage,0.3317%,"16,584,525",1.66E+25,0xc7c062068a9DDf4862DbC5E02CC0F9E3A215A3fb,View on Etherscan,Loading...,Loading...,Loading...
,Team,Saguaro,Delivered,Anchorage,Anchorage,0.3332%,"16,659,221",1.67E+25,0xD69cED9c7362B6E3849d019Cad72B17ec643Db74,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Louisiana,Delivered,Anchorage,Anchorage,0.3397%,"16,987,147",1.70E+25,0x14620a70fAc5AD6Af21C21216F00bF4a1cfF6606,View on Etherscan,Loading...,Loading...,Loading...
,Team,Kentucky,Delivered,Anchorage,Anchorage,0.3575%,"17,873,471",1.79E+25,0x3CBe4Bd8061eD3E731539E55Ea024414404e070C,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Kobuk Valley,Delivered,Anchorage,Anchorage,0.3647%,"18,236,333",1.82E+25,0x774548FE8Dbd07e53Eb6CEA4361F3e848CBA2533,View on Etherscan,Loading...,Loading...,Loading...
,Team,Hawaii,Delivered,Anchorage,Anchorage,0.3673%,"18,367,445",1.84E+25,0x8E082FaAa2834D31C2B1bc71Ac86AEE36fb61274,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Michigan,Delivered,Anchorage,Anchorage,0.3904%,"19,521,230",1.95E+25,0x022Bcc0cd44FD36C10BF82E0645Bb9b61Bd4b8aB,View on Etherscan,Loading...,Loading...,Loading...
,Team,Sequoia,Delivered,Anchorage,Anchorage,0.4012%,"20,058,437",2.01E+25,0xF7EC4c644cb8957A8Ca88210c9e14e7051c71d08,View on Etherscan,Loading...,Loading...,Loading...
